ind,"('GE', 'has_price')","('GE', 'has_nearby_price')","('Weg', 'has_price')","('Weg', 'has_nearby_price')"
2061,False,False,False,False
2065,False,False,False,False
2067,False,False,False,False
2069,False,False,True,False
2075,False,False,False,False
2081,False,False,False,False
2084,False,False,False,False
2093,False,False,False,False
2097,False,False,False,False
2098,False,False,False,False
2105,False,False,False,False
2110,False,False,False,False
2116,False,False,False,False
2118,False,False,False,False
2120,False,False,False,False
2123,True,False,True,False
2128,False,False,False,False
2132,False,False,False,False
2136,False,False,False,False
2138,False,False,False,False
2141,False,False,False,False
2146,False,False,False,False
2151,False,False,False,False
2152,True,False,True,False
2153,False,False,False,False
2155,False,False,False,False
2157,False,False,False,False
2160,False,False,False,False
2175,False,False,False,False
2191,True,False,True,False
2196,False,False,True,False
2203,False,True,False,True
2215,False,False,False,False
2224,False,False,False,False
2226,False,False,False,False
2227,False,False,False,False
2230,False,False,False,False
2232,False,False,False,False
2236,False,False,False,False
2237,False,False,False,False
2238,False,False,False,False
2253,False,False,False,False
2270,False,False,False,False
2272,False,False,False,False
2280,False,False,False,False
2281,False,False,False,False
2288,False,False,False,False
2289,False,False,False,False
2295,False,False,False,False
2296,False,False,False,False
2297,False,False,False,False
2298,False,False,False,False
2301,False,False,False,False
2302,False,False,False,False
2310,True,False,True,True
2312,False,False,False,False
2320,False,False,False,False
2322,False,False,False,False
2330,False,False,False,False
2331,True,True,True,True
2346,False,False,False,False
2355,False,False,False,False
2370,False,False,False,False
2376,True,True,True,True
2384,True,False,True,False
2385,False,False,False,False
2397,False,False,False,False
2400,False,False,False,False
2404,False,False,False,False
2405,False,False,False,False
2409,False,False,False,False
2418,False,False,False,False
2432,False,False,False,False
2433,False,False,True,True
2436,True,True,True,True
2438,False,False,False,False
2441,True,False,True,False
2448,False,False,False,False
2455,False,False,False,False
2459,False,False,False,False
2465,False,False,False,False
2467,False,False,False,False
2485,False,False,False,False
2486,False,False,False,False
2489,True,False,True,False
2491,True,False,True,False
2498,True,False,True,False
2512,False,False,False,False
2522,False,False,False,False
2523,False,False,False,False
2525,False,False,False,False
2526,True,True,True,True
2529,False,False,False,False
2530,True,False,True,False
2535,False,False,False,False
2536,True,False,True,False
2539,False,False,False,False
2544,False,False,False,False
2545,False,False,False,False
2551,True,False,True,False
2554,True,False,True,False
2564,False,False,False,False
2582,True,False,True,False
2590,False,False,False,False
2607,True,False,True,False
2612,False,False,False,False
2615,False,False,False,False
2622,False,False,False,False
2625,False,False,True,False
2635,False,False,False,False
2646,False,False,False,False
2669,False,False,False,False
2672,False,False,False,False
2677,False,False,False,False
2681,False,False,False,False
2699,False,False,False,False
2701,False,False,False,False
2706,False,False,False,False
2710,False,False,False,False
2712,False,False,True,False
2719,False,False,False,False
2724,False,False,False,False
2730,False,False,True,False
2734,False,False,False,False
2735,False,False,False,False
2741,True,False,True,False
2744,True,True,True,True
2750,False,False,False,False
2766,False,False,False,False
2777,False,False,False,False
2782,False,False,False,False
2790,False,False,True,False
2797,False,False,False,False
2800,False,False,False,False
2814,False,False,False,False
2821,True,False,True,False
2840,False,False,True,True
2847,False,False,False,False
2854,False,False,False,False
2857,False,False,False,False
2858,True,True,True,True
2863,False,False,False,False
2869,False,False,False,False
2875,False,False,False,False
2876,False,False,False,False
2877,False,True,False,True
2880,False,False,False,False
2889,False,True,True,True
2897,False,False,False,False
2899,False,False,False,False
2900,False,False,False,False
2911,True,True,True,True
2915,False,False,True,True
2923,False,False,False,False
2954,False,False,False,False
2968,True,True,True,True
2978,False,False,False,False
2979,False,False,False,False
2982,False,False,False,False
2985,False,False,False,False
2989,True,False,True,False
2991,False,False,False,False
3005,False,False,False,False
3006,True,False,True,True
3008,False,False,False,False
3010,False,False,False,False
3013,False,False,False,False
3015,True,True,True,True
3017,True,False,True,False
3019,False,False,False,False
3020,False,False,False,False
3021,False,False,False,False
3041,False,False,False,False
3043,False,False,True,True
3054,False,True,False,True
3070,False,False,False,False
3076,False,False,False,False
3077,False,False,False,False
3079,False,False,False,False
3080,True,True,True,True
3083,False,False,False,False
3090,False,False,False,False
3091,False,False,False,False
3094,False,False,False,False
3096,False,False,False,False
3099,False,False,False,False
3103,True,True,True,True
3107,True,False,True,False
3111,False,False,False,False
3120,False,False,False,False
3122,False,True,False,True
3124,False,False,False,False
3126,False,False,False,False
3127,True,True,True,True
3132,False,False,True,False
3133,False,False,False,False
3141,False,False,False,False
3146,False,False,False,False
3151,False,False,False,False
3154,False,False,False,False
3162,False,False,False,False
3170,True,False,True,False
3174,False,False,False,False
3178,False,False,False,False
3186,False,False,False,False
3187,False,False,False,False
3192,False,False,True,False
3193,False,False,False,False
3199,False,False,True,False
3203,True,True,True,True
3207,False,False,False,False
3209,False,False,True,True
3222,True,True,True,True
3232,False,False,False,False
3233,False,False,False,False
3235,True,False,True,False
3242,False,False,False,False
3256,False,False,False,False
3271,False,False,False,False
3280,False,False,False,False
3281,False,False,False,False
3287,True,True,True,True
3300,False,False,False,False
3302,False,False,False,False
3303,False,False,False,False
3313,False,False,False,False
3318,False,False,False,False
3333,True,True,True,True
3337,False,False,False,False
3353,False,False,True,False
3354,False,False,False,False
3359,False,False,False,False
3360,False,False,False,False
3361,False,False,True,True
3366,False,False,False,False
3367,False,False,False,False
3376,False,False,False,False
3378,False,False,False,False
3386,False,False,True,False
3393,False,False,False,False
3394,False,False,False,False
3397,False,False,False,False
3399,False,False,False,False
3400,False,False,False,False
3407,False,False,False,False
3408,True,False,True,False
3411,True,False,True,False
3422,False,False,False,False
3426,False,False,False,False
3432,False,False,False,False
3433,False,False,False,False
3439,False,True,False,True
3446,False,False,False,False
3452,True,False,True,False
3457,True,True,True,True
3459,False,False,False,False
3461,False,False,False,False
3467,False,False,False,False
3469,False,False,False,False
3471,False,False,False,False
3494,False,False,False,False
3504,False,False,True,True
3510,False,False,False,False
3512,False,True,False,True
3521,False,False,False,False
3522,False,False,False,False
3524,False,False,False,False
3530,False,False,False,False
3531,False,False,False,False
3542,True,False,True,False
3546,False,False,False,False
3547,False,False,False,False
3551,False,False,False,False
3552,False,False,False,False
3563,False,False,False,False
3567,False,False,False,False
3568,False,False,False,False
3573,False,False,False,False
3581,True,True,True,True
3594,False,False,False,False
3601,False,True,True,True
3605,False,False,False,False
3610,True,False,True,False
3611,False,False,False,False
3621,False,False,False,False
3623,False,False,False,False
3625,False,False,False,False
3629,False,False,False,False
3630,True,False,True,False
3631,False,False,False,False
3633,True,False,True,False
3644,False,False,False,False
3659,False,False,False,False
3660,False,False,False,False
3661,False,False,False,False
3667,True,False,True,False
3671,True,True,True,True
3673,False,False,False,False
3677,False,False,False,False
3682,False,False,False,False
3695,False,False,False,False
3701,False,False,False,False
3702,False,False,False,False
3707,False,False,False,False
3711,False,False,False,False
3715,False,False,False,False
3717,False,False,True,False
3720,False,False,False,False
3723,False,False,False,False
3724,False,False,False,False
3727,False,False,False,False
3729,False,False,False,False
3733,False,False,False,False
3735,False,False,False,False
3741,False,False,False,False
3745,False,False,False,False
3762,False,False,False,False
3765,False,False,False,False
3768,False,False,False,False
3772,False,False,False,False
3785,False,False,False,False
3786,False,False,False,False
3788,False,True,False,True
3793,False,False,False,False
3794,False,False,False,False
3803,False,False,False,False
3810,False,False,False,False
3814,False,False,False,False
3817,False,False,False,False
3819,False,False,False,False
3831,False,False,False,False
3833,False,False,False,False
3835,False,False,False,False
3842,False,False,False,False
3843,False,False,False,False
3844,False,False,False,False
3845,False,False,False,False
3849,False,False,False,False
3850,False,False,False,False
3856,False,False,False,False
3862,False,False,False,False
3864,False,False,False,False
3870,True,True,True,True
3873,False,False,True,False
3883,False,False,False,False
3891,False,False,False,False
3894,True,False,True,False
3895,False,False,False,False
3896,False,False,False,False
3897,False,False,False,False
3909,False,False,False,False
3910,False,False,False,False
3915,False,False,False,False
3918,False,False,False,False
3920,True,False,True,False
3924,False,False,False,False
3930,False,False,False,False
3931,False,False,False,False
3938,False,False,False,False
3948,False,False,False,False
3950,False,False,False,False
3956,False,False,False,False
3965,True,False,True,False
3970,False,False,False,False
3971,False,False,False,False
3974,False,False,False,False
3981,False,False,False,False
3989,False,False,False,False
3994,False,False,False,False
4013,False,False,False,False
4015,False,False,False,False
4020,False,False,False,False
4024,False,False,False,False
4026,False,False,False,False
4033,False,False,False,False
4034,False,False,False,False
4038,False,False,False,False
4039,False,False,False,False
4041,False,False,False,False
4047,False,False,False,False
4051,False,False,False,False
4055,False,True,False,True
4056,False,False,False,False
4058,False,False,False,False
4060,False,False,True,True
4066,False,False,False,False
4068,False,False,False,False
4072,False,False,False,False
4073,True,False,True,False
4079,False,False,False,False
4085,False,False,False,False
4086,True,False,True,False
4089,False,False,False,False
4104,False,False,False,False
4125,False,False,False,False
4129,False,False,False,False
4135,False,False,True,False
4144,False,False,False,False
4147,False,False,False,False
4148,False,False,False,False
4155,False,False,False,False
4160,True,True,True,True
4161,False,False,False,False
4172,False,False,False,False
4179,False,False,False,False
4191,False,False,False,False
4199,False,False,False,False
4205,False,False,False,False
4209,True,False,True,False
4220,False,False,False,False
4228,False,False,False,False
4232,True,True,True,True
4249,True,False,True,True
4253,True,False,True,False
4258,False,False,False,False
4259,False,False,False,False
4263,False,False,False,False
4265,False,False,False,False
4276,False,True,False,True
4281,False,False,False,False
4293,False,False,False,False
4296,False,False,False,False
4298,False,False,False,False
4301,False,False,False,False
4306,False,False,True,False
4307,False,False,False,False
4309,False,False,False,False
4322,False,False,False,False
4327,False,False,False,False
4340,False,False,False,False
4346,True,False,True,False
4349,True,False,True,False
4353,False,False,False,False
4359,False,False,False,False
4365,False,False,False,False
4367,True,False,True,False
4375,False,False,True,False
4376,False,False,False,False
4377,False,False,False,False
4379,False,False,False,False
4382,False,False,False,False
4387,False,False,False,False
4389,False,False,False,False
4394,False,False,True,True
4400,False,False,False,False
4413,False,False,False,False
4437,False,False,False,False
4438,False,False,False,False
4442,False,False,False,False
4447,False,False,True,True
4449,False,False,False,False
4452,False,False,False,False
4455,False,False,False,False
4457,False,False,True,True
4463,True,False,True,False
4471,False,False,False,False
4476,False,False,False,False
4481,False,False,False,False
4486,False,False,False,False
4495,False,False,True,True
4505,True,True,True,True
4506,False,False,False,False
4514,False,False,False,False
4521,False,False,False,False
4526,False,False,False,False
4529,True,False,True,False
4530,True,False,True,False
4546,False,False,False,False
4552,False,False,False,False
4553,False,False,False,False
4559,True,True,True,True
4562,False,False,False,False
4563,False,False,False,False
4566,False,False,False,False
4568,False,False,False,False
4571,False,False,False,False
4573,False,False,False,False
4577,False,False,False,False
4578,False,False,False,False
4591,True,False,True,False
4593,False,False,False,False
4607,False,False,False,False
4614,False,False,False,False
4616,False,False,False,False
4618,True,False,True,False
4624,False,False,False,False
4626,False,False,False,False
4641,False,False,False,False
4646,True,False,True,False
4648,False,False,False,False
4649,False,False,False,False
4655,False,False,False,False
4672,True,False,True,False
4675,False,False,False,False
4677,False,False,False,False
4683,True,False,True,False
4685,False,False,False,False
4692,False,False,False,False
4694,True,False,True,False
4695,False,False,False,False
4708,False,False,False,False
4715,False,False,True,False
4724,False,False,False,False
4727,False,False,False,False
4732,False,False,False,False
4738,False,False,False,False
4743,False,False,False,False
4745,False,False,False,False
4752,False,False,False,False
4754,False,False,False,False
4755,False,False,False,False
4763,False,False,False,False
4768,False,False,False,False
4787,False,False,False,False
4788,False,False,False,False
4801,False,False,False,False
4802,False,False,False,False
4803,False,False,False,False
4807,True,False,True,False
4815,False,False,False,False
4822,False,False,False,False
4827,False,False,False,False
4835,True,False,True,False
4840,False,False,False,False
4843,False,False,False,False
4844,False,False,False,False
4848,True,False,True,False
4854,False,False,False,False
4865,False,False,False,False
4878,False,False,False,False
4879,True,False,True,False
4880,False,False,False,False
4884,False,False,False,False
4886,False,False,False,False
4896,False,False,False,False
4904,False,False,False,False
4905,False,False,False,False
4906,False,False,False,False
4907,True,True,True,True
4916,False,False,False,False
4924,False,False,False,False
4930,False,False,False,False
4939,True,False,True,False
4941,False,False,False,False
4951,False,False,False,False
4953,True,True,True,True
4959,False,False,False,False
4960,False,False,False,False
4964,False,False,False,False
4965,False,False,False,False
4968,False,False,False,False
4970,False,False,False,False
4977,False,False,False,False
4978,True,True,True,True
4983,False,False,False,False
4984,False,False,False,False
4986,False,False,False,False
4992,False,False,False,False
5000,False,True,False,True
5003,False,False,False,False
5014,False,False,False,False
5016,False,False,False,False
5017,True,False,True,False
5023,False,False,False,False
5025,False,False,False,False
5031,False,False,False,False
5033,False,False,False,False
5047,False,False,False,False
5050,False,False,False,False
5055,False,False,False,False
5062,False,False,False,False
5067,False,False,False,False
5069,False,False,False,False
5072,True,True,True,True
5073,False,False,False,False
5076,False,False,False,False
5078,False,False,False,False
5079,False,False,False,False
5087,False,False,False,False
5102,False,False,False,False
5103,False,False,False,False
5109,False,False,True,False
5110,False,False,False,False
5111,False,False,True,False
5112,False,False,False,False
5118,False,False,False,False
5122,False,False,False,False
5126,False,True,False,True
5129,True,False,True,False
5133,True,False,True,False
5149,False,False,False,False
5161,False,False,False,False
5165,False,False,False,False
5174,False,True,False,True
5181,False,False,False,False
5182,False,True,False,True
5186,False,False,False,False
5194,True,True,True,True
5197,True,False,True,False
5201,True,False,True,False
5202,False,False,False,False
5205,False,False,False,False
5214,False,False,False,False
5217,False,False,False,False
5220,False,False,False,False
5225,False,False,False,False
5227,False,True,False,True
5231,True,False,True,False
5233,False,False,False,False
5234,False,False,False,False
5236,False,False,False,False
5238,False,False,False,False
5239,False,False,False,False
5257,False,False,False,False
5258,False,False,False,False
5262,False,False,False,False
5269,False,False,True,True
5271,False,False,False,False
5273,False,False,False,False
5278,False,False,False,False
5280,False,False,False,False
5281,False,False,False,False
5286,False,False,True,False
5287,False,False,False,False
5288,True,False,True,False
5289,False,False,False,False
5291,False,False,False,False
5292,False,False,False,False
5304,False,False,False,False
5308,False,False,False,False
5314,False,False,False,False
5322,False,False,False,False
5323,False,False,False,False
5332,False,False,False,False
5337,False,False,False,False
5340,True,False,True,False
5341,False,False,False,False
5345,False,False,True,False
5351,True,True,True,True
5352,True,True,True,True
5358,False,False,False,False
5360,False,False,False,False
5374,False,False,False,False
5397,False,True,False,True
5404,False,False,False,False
5406,False,False,False,False
5408,False,False,False,False
5410,True,True,True,True
5418,False,False,False,False
5428,False,False,False,False
5452,False,False,False,False
5455,False,False,False,False
5467,False,False,False,False
5475,False,False,False,False
5479,False,False,False,False
5480,True,False,True,False
5505,False,False,False,False
5513,False,False,False,False
5517,False,False,False,False
5539,False,False,False,False
5569,False,False,False,False
5572,False,False,False,False
5593,True,False,True,False
5603,False,False,False,False
5604,False,False,False,False
5606,False,False,False,False
5613,False,False,False,False
5614,False,False,False,False
5625,False,False,True,True
5642,False,False,False,False
5643,False,False,False,False
5649,False,False,False,False
5654,False,False,False,False
5657,True,True,True,True
5662,False,False,False,False
5669,False,False,True,False
5671,False,False,False,False
5673,False,False,False,False
5675,False,False,False,False
5679,True,False,True,False
5696,False,False,False,False
5729,True,False,True,False
5734,True,True,True,True
5735,False,False,False,False
5741,False,False,False,False
5744,True,True,True,True
5745,False,False,False,False
5746,False,False,False,False
5747,False,False,False,False
5752,False,False,False,False
5763,True,False,True,False
5776,False,False,False,False
5780,False,False,False,False
5785,True,False,True,False
5786,False,False,False,False
5791,False,False,False,False
5797,False,False,False,False
5799,False,False,False,False
5803,True,False,True,False
5816,False,False,False,False
5828,False,False,False,False
5840,True,False,True,False
5847,True,False,True,False
5853,False,False,False,True
5855,False,False,False,False
5870,False,False,False,False
5871,False,False,False,False
5879,False,False,True,False
5883,False,False,False,False
5891,True,False,True,False
5899,False,False,False,False
5906,False,False,False,False
5926,False,False,False,False
5930,True,False,True,False
5937,False,False,False,False
5944,False,False,False,False
5956,False,False,False,False
5964,False,False,False,False
5975,True,True,True,True
5977,False,False,False,False
5996,False,False,False,False
6000,True,True,True,True
6004,True,False,True,False
6010,False,False,False,False
6038,True,True,True,True
6044,False,False,False,False
6051,False,False,False,False
6052,False,False,False,False
6064,True,False,True,False
6067,False,False,False,False
6075,True,True,True,True
6076,False,False,False,False
6102,False,False,False,False
6122,False,False,False,False
6136,False,False,False,False
6137,False,True,True,True
6153,False,False,False,False
6168,False,False,False,False
6174,False,False,False,False
6176,False,True,False,True
6180,False,False,False,False
6183,False,False,False,False
6197,False,False,False,False
6200,False,False,False,False
6203,False,False,False,False
6205,True,False,True,False
6212,False,False,True,False
6219,False,False,False,False
6221,True,True,True,True
6223,True,False,True,False
6232,False,False,False,False
6240,False,False,False,False
6248,False,False,False,False
6251,False,False,False,False
6255,False,False,False,False
6256,False,False,False,False
6271,False,True,False,True
6272,False,False,False,False
6273,False,False,False,False
6286,False,True,False,True
6290,False,False,False,False
6293,True,False,True,True
6296,False,False,False,False
6303,False,False,False,False
6306,False,False,False,False
6309,True,False,True,True
6318,False,False,True,True
6322,False,False,False,False
6327,False,False,False,False
6328,True,True,True,True
6330,True,True,True,True
6334,True,False,True,False
6354,False,False,False,False
6356,False,False,False,False
6361,False,False,False,False
6372,False,False,False,False
6376,False,False,False,False
6377,False,False,False,False
6379,False,False,False,False
6384,False,False,False,False
6386,False,False,False,False
6402,True,True,True,True
6415,False,False,False,False
6422,False,False,False,False
6424,True,False,True,False
6428,True,True,True,True
6437,False,False,False,False
6441,False,False,False,False
6458,False,False,False,False
6475,False,False,False,False
6480,False,False,False,False
6484,False,False,False,False
6485,False,False,False,False
6492,False,True,False,True
6497,False,False,False,False
6500,False,False,False,False
6503,False,False,False,False
6521,False,False,False,False
6522,False,False,False,False
6523,True,False,True,False
6530,True,False,True,False
6542,False,False,False,False
6547,True,True,True,True
6549,True,False,True,False
6552,True,False,True,True
6554,False,False,False,False
6559,False,False,False,False
6562,False,False,False,False
6563,False,False,False,False
6569,False,False,False,False
6574,True,False,True,False
6578,False,False,False,False
6582,False,True,False,True
6590,False,False,False,False
6600,False,False,False,False
6601,False,False,True,False
6615,False,False,False,False
6636,True,False,True,False
6639,False,False,False,False
6655,False,False,False,False
6658,False,False,False,False
6662,False,False,False,False
6663,False,False,False,False
6679,False,True,False,True
6686,False,False,False,False
6696,False,False,False,False
6698,False,False,False,False
6699,False,False,False,False
6713,False,False,False,False
6714,False,False,False,False
6716,False,False,False,False
6719,False,False,True,False
6725,True,False,True,False
6731,False,False,False,False
6735,False,False,False,False
6749,False,False,False,False
6753,False,False,False,False
6755,False,False,False,False
6759,False,False,False,False
6762,False,True,False,True
6763,False,False,False,False
6764,False,False,False,False
6775,False,False,False,False
6776,False,False,False,False
6779,False,False,False,False
6784,False,False,False,False
6792,False,False,False,False
6801,True,False,True,False
6807,False,False,False,False
6809,False,False,False,False
6814,False,False,False,False
6834,False,False,False,False
6835,True,False,True,False
6838,False,False,False,False
6862,True,True,True,True
6864,False,False,False,False
6869,False,False,False,False
6875,False,False,False,False
6880,False,True,False,True
6884,False,False,False,False
6888,False,False,False,False
6891,False,True,False,True
6894,False,False,True,True
6897,False,False,False,False
6906,False,False,False,False
6913,False,False,False,False
6924,True,False,True,False
6928,False,False,False,False
6944,False,False,False,False
6952,False,False,False,False
6956,False,False,False,False
6968,False,True,False,True
6973,False,False,False,False
6979,True,False,True,False
6982,False,False,False,False
6997,False,False,False,False
7010,False,False,False,False
7018,True,False,True,False
7028,False,False,False,False
7033,True,False,True,False
7035,False,False,False,False
7048,False,False,True,False
7062,False,False,False,False
7066,False,False,False,False
7070,False,False,False,True
7072,False,False,False,False
7078,False,False,False,False
7082,True,False,True,True
7090,False,False,False,False
7093,True,True,True,True
7095,False,False,False,False
7100,False,False,False,False
7107,False,False,True,True
7110,False,False,False,False
7111,False,False,True,False
7119,False,False,False,False
7120,False,False,False,False
7123,False,False,False,False
7124,False,False,False,False
7125,False,True,False,True
7130,True,False,True,False
7132,True,True,True,True
7133,False,False,False,False
7138,False,False,False,False
7140,False,False,False,False
7144,True,False,True,False
7146,False,False,True,True
7148,False,False,False,False
7162,False,False,False,False
7171,False,False,False,False
7174,False,False,False,False
7177,False,False,False,False
7180,False,False,False,False
7181,False,False,False,False
7183,False,False,False,False
