,id,name,rating,time,servings,yield,course0,cuisine0,Piquant,Sour,Salty,Sweet,Bitter,Meaty,cuisine1,holiday0,holiday1,holiday2,course1,cuisine2,course2,course3,holiday3,cuisine3,course4,holiday4,Cajun & Creole,Spanish,Hawaiian,Kid-Friendly,Indian,English,Greek,Thai,Southwestern,Italian,Mediterranean,Irish,Southern & Soul Food,Hungarian,American,Mexican,Swedish,Moroccan,Barbecue,German,Asian,Portuguese,Vietnamese,Japanese,Cuban,French,Chinese,Breads,Soups,Afternoon Tea,Cocktails,Beverages,Lunch and Snacks,Main Dishes,Appetizers,Breakfast and Brunch,Desserts,Condiments and Sauces,Side Dishes,Salads,Game Day,Christmas,Unnamed: 69,4th of July,New Year,Passover,Sommer Cocktail Party,Fall,Winter,Chinese New Year,Valentine's Day,Thanksgiving,Thanksgivukkah,Spring,Summer,Hanukkah,Sunday Lunch,Easter,St. Patrick's Day,Halloween,number_of_ingredients,taste_sum,parsed,failed,ingredient0,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient0qty,ingredient0type,ingredient1qty,ingredient1type,ingredient2qty,ingredient2type,ingredient3qty,ingredient3type,ingredient4qty,ingredient4type,ingredient5qty,ingredient5type,ingredient6qty,ingredient6type,ingredient7qty,ingredient7type,ingredient8qty,ingredient8type,ingredient9qty,ingredient9type,ingredient10qty,ingredient10type,ingredient11qty,ingredient11type,ingredient12qty,ingredient12type,ingredient13qty,ingredient13type,ingredient14qty,ingredient14type,ingredient15qty,ingredient15type,ingredient16qty,ingredient16type,ingredient17qty,ingredient17type,ingredient18qty,ingredient18type,ingredient19qty,ingredient19type,amount_error
66,Lobster-Newburg-My-Recipes_1,Lobster Newburg,4,,2.0,Makes 2 servings,Main Dishes,American,0.0,0.6667,1.0,0.6667,1.0,0.6667,,New Year,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4.0001,True,0,mushrooms,dry sherry,shallots,lemon juice,margarine,cream,salt and pepper,salt and pepper,chicken fat,cornstarch,white bread,lobsters,watercress,,,,,,,,226.8,wt,59.1475,vol,59.1475,vol,14.787,vol,29.574,vol,59.1475,vol,0.0,whole,0.0,whole,118.295,vol,7.3935,vol,56.7,wt,680.4000000000001,wt,236.59,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
71,Miso-Glazed-Sea-Bass-458902,Miso-Glazed Sea Bass,5,,6.0,Serves 6.,Main Dishes,Japanese,0.0,0.1667,1.0,0.6667,0.8333,1.0,Asian,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.6667,True,0,white miso,mirin,sake,sugar,fresh ginger,sea bass,grated lemon zest,,,,,,,,,,,,,,118.295,vol,59.1475,vol,59.1475,vol,44.361000000000004,vol,4.929,vol,170.10000000000002,wt,4.929,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
79,Grilled-Pepper_Crusted-Sirloin-Martha-Stewart,Grilled Pepper-Crusted Sirloin,4,1500.0,4.0,servings: 4,Main Dishes,American,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,True,0,sirloin,coarse salt,black pepper,,,,,,,,,,,,,,,,,,680.4000000000001,wt,9.858,vol,19.716,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
82,Pumpkin-Curry-1395357,Pumpkin Curry,4,2700.0,4.0,,Main Dishes,Indian,0.1667,0.6667,0.1667,0.1667,0.3333,0.1667,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1.6668,True,0,pumpkin,chopped onion,cloves garlic,fresh ginger,cashews,oil,mustard seeds,cumin seeds,turmeric,ground coriander,chili powder,sugar,water,salt to taste,chickpea flour,fresh cilantro,,,,,500.0,wt,1.0,whole,2.0,whole,0.0,vol,15.0,whole,14.787,vol,2.4645,vol,2.4645,vol,1.23225,vol,2.4645,vol,4.929,vol,2.4645,vol,59.1475,vol,0.0,whole,29.574,vol,29.574,vol,0.0,,0.0,,0.0,,0.0,,0
86,Easy-Bbq-Flank-Steak-With-Chipotle-Mayo-Allrecipes,Easy BBQ Flank Steak with Chipotle Mayo,5,3300.0,8.0,8 servings,Main Dishes,American,0.0,0.8333,1.0,0.8333,1.0,1.0,Barbecue,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.6666,True,0,soy sauce,olive oil,honey,"garlic cloves, minced",chopped fresh rosemary,ground black pepper,salt,flank steak,mayonnaise,pepper sauce,,,,,,,,,,,118.295,vol,118.295,vol,66.5415,vol,6.0,whole,44.361000000000004,vol,22.180500000000002,vol,4.929,vol,907.2,wt,354.885,vol,198.45000000000002,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
99,Pan-Seared-Steak-with-Onion-and-Worcestershire-Martha-Stewart-192308,Pan-Seared Steak with Onion and Worcestershire,4,1200.0,4.0,,Main Dishes,American,0.0,0.5,0.3333,0.6667,0.1667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.8334,True,0,vegetable oil,flank steak,coarse salt and pepper,coarse salt and pepper,medium onion,worcestershire sauce,butter,chopped parsley,,,,,,,,,,,,,44.361000000000004,vol,680.4000000000001,wt,0.0,wt,0.0,wt,1.0,whole,22.180500000000002,vol,14.787,vol,59.1475,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
102,Fajita-chili-con-carne-297463,Fajita Chili Con Carne,4,1500.0,4.0,4,Main Dishes,Mexican,0.0,0.3333,0.1667,0.5,0.1667,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.8334,True,0,rice,ground beef,"medium onion, chopped",tomatoes,kidney beans,water,,,,,,,,,,,,,,,1.0,whole,453.6,wt,1.0,whole,411.07500000000005,wt,453.6,wt,118.295,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
104,Barbeque-Chicken-Allrecipes_1,Barbeque Chicken,5,6600.0,12.0,12 servings,Main Dishes,American,0.5,0.3333,1.0,0.8333,0.6667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.5,True,0,water,ketchup,brown sugar,vinegar,lemon juice,worcestershire sauce,salt,dry mustard,chili powder,chicken thighs,,,,,,,,,,,59.148,vol,44.361000000000004,vol,44.361000000000004,vol,29.574,vol,14.787,vol,29.574,vol,4.929,vol,4.929,vol,4.929,vol,12.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
109,Pork-and-poblano-stew-304977,Pork and Poblano Stew,5,9000.0,8.0,Serves 8.,Main Dishes,Mexican,0.8333,0.1667,0.3333,0.1667,0.5,0.5,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2.5,True,0,poblano peppers,vegetable oil,pork shoulder,salt,chopped onion,"garlic cloves, minced",cumin,chili,dried oregano,chicken stock,corn,sweet potatoes,sour cream,cilantro,pumpkin seeds,,,,,,340.20000000000005,wt,14.787,vol,1134.0,wt,0.0,whole,473.18,vol,3.0,whole,4.929,vol,1.0,whole,14.787,vol,946.35,vol,354.885,vol,226.8,wt,0.0,whole,0.0,whole,0.0,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0
113,Chicken-and-Sweet-Potato-Hand-Pies-Martha-Stewart-192637,Chicken and Sweet Potato Hand Pies,5,2700.0,4.0,servings: 4,Main Dishes,American,0.0,0.6667,0.3333,0.5,0.3333,0.6667,,Winter,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2.5,True,0,sweet potatoes,heavy cream,ground coriander,ground cumin,coarse salt and pepper,coarse salt and pepper,all-purpose flour,puff pastry,chicken,large eggs,green beans,,,,,,,,,,0.0,whole,118.295,vol,1.23225,vol,1.23225,vol,0.0,wt,0.0,wt,0.0,whole,0.0,wt,473.18,vol,1.0,whole,453.6,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
114,Southwestern-Bacon-Cheeseburgers-1119173,Southwestern Bacon Cheeseburgers,4,6000.0,4.0,4 serious-large burgers (the patties can be made smaller for more servings),Main Dishes,Southwestern,0.8333,0.8333,0.8333,0.1667,0.6667,0.8333,Barbecue,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4.166600000000002,True,0,lean beef,chorizo,monterey jack cheese,greens,medium onion,smoked bacon,olive oil,hamburger buns,mayonnaise,mayonnaise,mayonnaise,mayonnaise,,,,,,,,,680.4000000000001,wt,226.8,wt,236.59,vol,0.0,wt,1.0,whole,6.0,whole,0.0,wt,0.0,whole,0.0,whole,0.0,whole,0.0,whole,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
120,Roasted-Pork-Belly-with-Late-Harvest-Peaches-and-Arugula-MyRecipes-242009,Roasted Pork Belly with Late-Harvest Peaches and Arugula,4,15000.0,8.0,Makes 8 servings,Main Dishes,American,0.3333,0.8333,0.1667,0.8333,0.6667,0.3333,Southern & Soul Food,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3.1666000000000003,True,0,pork belly,kosher salt,freshly ground pepper,chopped onion,celery rib,cloves garlic,thyme sprigs,extra virgin olive oil,peaches,sherry vinegar,honey,fresh thyme,arugula,,,,,,,,0.0,wt,14.787,vol,9.858,vol,1.0,whole,2.0,whole,5.0,whole,6.0,whole,14.787,vol,4.0,whole,29.574,vol,29.574,vol,4.929,vol,946.36,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
125,Pork-and-Green-Bean-Stir-Fry-Martha-Stewart-191989,Pork and Green-Bean Stir-Fry,4,2700.0,4.0,servings: 4,Main Dishes,American,0.3333,0.5,0.6667,0.5,0.5,0.6667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.1667,True,0,pork tenderloin,coarse salt,soy sauce,rice vinegar,sugar,vegetable oil,minced fresh ginger,red-pepper flakes,green beans,red bell pepper,peanuts,white rice,,,,,,,,,340.20000000000005,wt,0.0,whole,29.574,vol,14.787,vol,4.929,vol,14.787,vol,29.574,vol,1.23225,vol,453.6,wt,1.0,whole,78.86333333333333,vol,0.0,wt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
127,Easy-Spinach-Ricotta-Lasagna-Rolls-1203391,Easy Spinach Ricotta Lasagna Rolls,4,3600.0,3.0,serves: 3,Main Dishes,Italian,0.1667,0.8333,0.3333,0.1667,0.6667,0.1667,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.3334,True,0,extra virgin olive oil,cloves garlic,tomatoes,salt to taste,spinach,spinach,ricotta cheese,parmesan cheese,salt,freshly ground pepper,nutmeg,mozzarella cheese,fresh basil,,,,,,,,14.787,vol,1.0,whole,800.0,wt,0.0,whole,6.0,whole,400.0,wt,250.0,wt,29.574,vol,2.4645,vol,0.0,wt,0.0,wt,88.72200000000001,vol,0.0,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
129,Tuscan-Sausage-Ragu-AllRecipes-40284,Tuscan Sausage Ragu,5,23700.0,10.0,10 servings,Main Dishes,Italian,0.5,0.8333,1.0,0.6667,0.8333,0.8333,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4.6666,True,0,olive oil,sweet italian sausage,italian sausage,large onion,celery rib,"garlic cloves, minced",dry red wine,italian tomatoes,tomato sauce,salt to taste,heavy cream,,,,,,,,,,29.574,vol,453.6,wt,453.6,wt,1.0,whole,2.0,whole,3.0,whole,118.295,vol,793.8000000000001,wt,793.8000000000001,wt,0.0,whole,236.59,vol,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
136,Chicken-Enchiladas-480560,Chicken Enchiladas,4,,4.0,,Main Dishes,Mexican,0.6667,0.6667,1.0,0.5,1.0,1.0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4.8334,True,0,chicken breasts,water,salt,cumin,oregano,bay leaf,ancho chilies,chilies,large onion,large garlic cloves,oil,tomato sauce,water,sugar,salt,cumin,oregano,queso fresco,,,680.4000000000001,wt,1892.7,vol,29.574,vol,4.929,vol,4.929,vol,1.0,whole,5.0,whole,5.0,whole,1.0,whole,3.0,whole,29.574,vol,425.25,wt,2.0,whole,14.787,vol,9.858,vol,9.858,vol,4.929,vol,1.0,whole,0.0,,0.0,,0
147,Red-Bean-Chili-My-Recipes_1,Red Bean Chili,4,,8.0,Makes 8 cups,Main Dishes,American,0.3333,0.5,0.6667,0.6667,0.5,0.8333,Southwestern,Game Day,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3.5,True,0,lean beef,chopped onion,kidney beans,tomato juice,tomatoes,chili powder,salt,pepper,chopped onion,,,,,,,,,,,,907.2,wt,1.0,whole,0.0,wt,0.0,wt,304.7625,wt,29.574,vol,4.929,vol,4.929,vol,0.0,whole,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0
