,name,size,price,unit_price,on_sale,norm_unit_price,norm_unit_price_type,norm_size,norm_size_type
18,Produce Organic Jumbo Red Onion,16 oz,$2.49,$0.16/oz,False,0.00564373897707231,wt,453.6,wt
19,Lipton Soup and Dip Mix Beefy Onion,2.2 oz,$1.79,$0.81/oz,False,0.02857142857142857,wt,56.7,wt
20,Nature's Basket Boneless Chicken Tenders,16 oz (avg.),$6.29 avg/ea,$6.29/lb,False,0.013866843033509699,wt,453.6,wt
21,Nature's Basket Fresh Boneless Skinless Chicken Breast,28 oz (avg.),$10.48 avg/ea,$5.99/lb,False,0.013205467372134039,wt,793.8000000000001,wt
22,Giant Eagle Boneless Skinless Chicken Breasts with Rib Meat,2.4 lb (avg.),$11.98 avg/ea,$4.99/lb,False,0.011000881834215168,wt,1814.4,wt
23,Nature's Basket Boneless Skinless Thin Sliced Chicken Breasts,16 oz (avg.),$6.29 avg/ea,$6.29/lb,False,0.013866843033509699,wt,453.6,wt
24,Giant Eagle Chicken Breast Tenders,1.4 lb (avg.),$7.41 avg/ea,$5.29/lb,False,0.011662257495590828,wt,1814.4,wt
25,Giant Eagle Chicken Thighs,3.4 lb (avg.),$4.39 avg/ea,$1.29/lb,True,0.002843915343915344,wt,1814.4,wt
26,Giant Eagle Chicken Wings Family Pack,2.6 lb (avg.),$7.77 avg/ea,$2.99/lb,False,0.006591710758377425,wt,2721.6000000000004,wt
27,Giant Eagle Fresh Young Whole Frying Chicken,5 lb (avg.),$6.45 avg/ea,$1.29/lb,True,0.002843915343915344,wt,2268.0,wt
28,Giant Eagle Chicken Fresh Packaged Drumsticks,2.8 lb (avg.),$3.61 avg/ea,$1.29/lb,True,0.002843915343915344,wt,3628.8,wt
29,Nature's Basket Individually Fresh Frozen Boneless Chicken Breast,6 ct,$8.99,$1.50/each,False,1.5,whole,6.0,whole
30,Market District Bulk Boneless Chicken Breasts,1 ct,$4.99,$4.99/each,False,4.99,whole,1.0,whole
31,Perdue Ground Chicken,16 oz,$4.79,$0.30/oz,False,0.010582010582010581,wt,453.6,wt
32,Market District Chicken Split Breasts with Ribs,4 lb (avg.),$7.96 avg/ea,$1.99/lb,True,0.004387125220458554,wt,1814.4,wt
33,Nature's Basket Boneless Skinless Chicken Thighs,1.7 lb (avg.),$6.78 avg/ea,$3.99/lb,False,0.008796296296296297,wt,3175.2000000000003,wt
34,Better Than Bouillon Chicken,3.5 oz,$2.49,$0.71/oz,False,0.025044091710758373,wt,141.75,wt
35,Tyson Chicken - Premium Chunk White in Water,0.78 lb,$3.79,$4.86/lb,False,0.010714285714285714,wt,35380.8,wt
36,Stouffer's Chicken in Barbeque Sauce,10 oz,$2.99,$0.30/oz,True,0.010582010582010581,wt,283.5,wt
37,Blue Buffalo Chicken - Senior Dog Food,12.5 oz,$2.49,$0.20/oz,False,0.007054673721340388,wt,141.75,wt
38,Campbell's® Homestyle Healthy Request® Chicken with Whole Grain Pasta Soup,18.6 oz,$2.69,$0.14/oz,False,0.0049382716049382715,wt,170.10000000000002,wt
39,Keystone Chicken - Heat & Serve,28 oz,$8.49,$0.30/oz,False,0.010582010582010581,wt,793.8000000000001,wt
40,Giant Eagle Grated Parmesan & Romano Cheese,8 oz,$2.49,$0.31/oz,False,0.010934744268077601,wt,226.8,wt
41,KRAFT GRATED CHEESE Cheese Grated - Parmesan,227 g,$4.49,$0.02/g,False,0.02,whole,227.0,whole
42,KRAFT GRATED CHEESE Cheese - Parmesan 100% Grated,16 oz,$7.49,$0.47/oz,True,0.01657848324514991,wt,453.6,wt
43,KRAFT GRATED CHEESE Cheese Grated - Parmesan & Romano 100%,8 oz,$4.49,$0.56/oz,False,0.019753086419753086,wt,226.8,wt
44,4C Cheese Grated - 100% Parmesan Romano,6 oz,$3.79,$0.63/oz,False,0.02222222222222222,wt,170.10000000000002,wt
45,Classico Grated Parmesan Romano & Asiago Cheeses,8 oz,$4.99,$0.62/oz,False,0.021869488536155203,wt,226.8,wt
46,Giant Eagle Fancy Shredded Parmesan Cheese,6 oz,$2.19,$0.37/oz,False,0.013051146384479717,wt,170.10000000000002,wt
47,FRIGO® Parmesan Cheese,5 oz,2 for $6.00,$0.60/oz,True,0.021164021164021163,wt,141.75,wt
48,FRIGO® Parmesan Cheese,5 oz,2 for $6.00,$0.60/oz,True,0.021164021164021163,wt,141.75,wt
49,FRIGO® Parmesan Cheese,5 oz,2 for $6.00,$0.60/oz,True,0.021164021164021163,wt,141.75,wt
50,Stella Parmesan Cheese,5 oz,$4.29,$0.86/oz,False,0.030335097001763667,wt,141.75,wt
51,Stella Freshly Grated Parmesan Cheese,5 oz,$4.29,$0.86/oz,False,0.030335097001763667,wt,141.75,wt
52,Follow Your Heart Dairy Free Grated Parmesan Cheese,4 oz,$5.99,$1.50/oz,False,0.05291005291005291,wt,113.4,wt
53,FRIGO® Shaved Parmesan Cheese Cup,5 oz,2 for $6.00,$0.60/oz,True,0.021164021164021163,wt,141.75,wt
54,BelGioioso Parmesan Cheese Wedge,5 oz,$4.99,$1.00/oz,False,0.03527336860670194,wt,141.75,wt
55,Giant Eagle Fancy Shredded Parmesan & Romano Cheese Blend,6 oz,$2.19,$0.37/oz,False,0.013051146384479717,wt,170.10000000000002,wt
56,Supremo Cotija Grated Cheese,7.06 oz,$6.99,$0.99/oz,False,0.03492063492063492,wt,170.10000000000002,wt
57,Fresh Gourmet Parmesan Cheese Crisps,50 g,$3.99,$0.08/g,False,0.08,whole,50.0,whole
58,Delallo Romano Cheese,8 oz,$4.79,$0.60/oz,False,0.021164021164021163,wt,226.8,wt
59,Evol Truffle Parmesan Mac & Cheese,8 oz,$3.99,$0.50/oz,True,0.01763668430335097,wt,226.8,wt
0,Giant Eagle Original Sour Cream,16 oz,$1.29,$0.08/oz,False,0.002821869488536155,wt,453.6,wt
1,Daisy Sour Cream,16 oz,$2.19,$0.14/oz,False,0.0049382716049382715,wt,453.6,wt
2,Daisy Sour Cream,24 oz,$2.99,$0.12/oz,True,0.004232804232804232,wt,680.4000000000001,wt
3,Daisy Squeeze Sour Cream,14 oz,$2.39,$0.17/oz,False,0.00599647266313933,wt,396.90000000000003,wt
4,Daisy Sour Cream,227 g,$1.69,$0.01/g,False,0.01,whole,227.0,whole
5,Giant Eagle Original Sour Cream,8 oz,$0.95,$0.12/oz,False,0.004232804232804232,wt,226.8,wt
6,Giant Eagle Light Cultured Sour Cream,16 oz,$1.29,$0.08/oz,False,0.002821869488536155,wt,453.6,wt
7,Daisy Light Sour Cream,1 lb,$2.19,$2.19/lb,False,0.004828042328042328,wt,453.6,wt
8,Giant Eagle Original Sour Cream,24 oz,$1.99,$0.08/oz,False,0.002821869488536155,wt,680.4000000000001,wt
9,B&L Sour Cream,16 oz,2 for $4.00,$0.13/oz,True,0.004585537918871252,wt,453.6,wt
10,B&L Sour Cream,8 oz,4 for $5.00,$0.16/oz,True,0.00564373897707231,wt,226.8,wt
11,Daisy Sour Cream,1.36 kg,$5.49,$4.04/kg,False,0.00404,wt,36000.0,wt
12,Daisy Light Sour Cream,227 g,$1.69,$0.01/g,False,0.01,whole,227.0,whole
13,B&L Sour Cream,24 oz,2 for $6.00,$0.13/oz,True,0.004585537918871252,wt,680.4000000000001,wt
14,Giant Eagle Light Sour Cream,8 oz,$0.95,$0.12/oz,False,0.004232804232804232,wt,226.8,wt
15,Daisy Squeeze Light Sour Cream,14 oz,$2.39,$0.17/oz,False,0.00599647266313933,wt,396.90000000000003,wt
16,Giant Eagle Fat Free Sour Cream,16 oz,$1.29,$0.08/oz,False,0.002821869488536155,wt,453.6,wt
17,Daisy Light Sour Cream,680 g,$2.99,$0.00/g,True,0.0,whole,680.0,whole
18,Tofutti Sour Cream,12 oz,$3.49,$0.29/oz,False,0.010229276895943561,wt,340.20000000000005,wt
19,Cape Cod Potato Chips Waves White Cheddar & Sour Cream,7 oz,2 for $5.00,$0.36/oz,True,0.012698412698412697,wt,198.45000000000002,wt
20,Produce Bunched Cilantro,1 ct,$1.99,$1.99/each,False,1.99,whole,1.0,whole
21,Produce Organic Cilantro,1 ct,$2.49,$2.49/each,False,2.49,whole,1.0,whole
22,Nature's Basket Organic Cilantro,0.75 oz,$2.99,$3.99/oz,False,0.14074074074074075,wt,2126.25,wt
23,Badia Cilantro,0.25 oz,$0.99,$3.96/oz,False,0.13968253968253969,wt,708.75,wt
24,Produce Living Organic Cilantro,1 ct,$2.99,$2.99/each,False,2.99,whole,1.0,whole
25,Gourmet Garden Lightly Dried - Cilantro Bowl,0.35 oz,$4.99,$14.26/oz,False,0.5029982363315696,wt,992.25,wt
26,Hanover Riced Cilantro Lime Cauliflower,10.5 oz,$2.50,$0.24/oz,False,0.008465608465608464,wt,141.75,wt
27,"TRISCUIT Avocado, Cilantro & Lime Crackers",8.5 oz,$3.29,$0.39/oz,True,0.013756613756613757,wt,141.75,wt
28,Bolthouse Farms Cilantro Avocado Dressing,14 fl oz,2 for $7.00,$0.25/fl oz,True,0.008454514710855596,vol,413.98,vol
29,Casa Mexicana Rice Mix - Cilantro,8 oz,$3.49,$0.44/oz,False,0.015520282186948852,wt,226.8,wt
30,Cheating Gourmet Cilantro Lime Shrimp Rice Bowl,8 oz,2 for $7.00,$0.44/oz,True,0.015520282186948852,wt,226.8,wt
31,Evol Cilantro Lime Chicken Burrito,6 oz,$1.99,$0.33/oz,True,0.01164021164021164,wt,170.10000000000002,wt
32,Ferry-Morse Herb Cilantro/Coriander Seeds,1 ct,$2.49,$2.49/each,False,2.49,whole,1.0,whole
33,Food Network Mexican Cilantro Lime Vinaigrette,12 oz,$3.29,$0.27/oz,True,0.009523809523809525,wt,340.20000000000005,wt
34,Frontera Salsa - Gourmet Mexican Jalapeno Cilantro Medium,16 oz,$4.49,$0.28/oz,False,0.009876543209876543,wt,453.6,wt
35,Gourmet Garden Herb Blend - Cilantro,4 oz,$4.99,$1.25/oz,False,0.04409171075837742,wt,113.4,wt
36,Goya Cilantro Cooking Base,12 oz,$2.79,$0.23/oz,False,0.008112874779541446,wt,340.20000000000005,wt
37,Marzetti Cilantro Avocado Dressing,15 oz,$4.49,$0.30/oz,False,0.010582010582010581,wt,425.25,wt
38,McCormick Cilantro Leaves,0.5 oz,$4.99,$9.98/oz,False,0.3520282186948854,wt,141.75,wt
39,Red's All Natural Chicken Burrito Bowl with Cilantro-Lime Rice,8.5 oz,$4.99,$0.59/oz,False,0.020811287477954143,wt,141.75,wt
40,Giant Eagle Boneless Skinless Chicken Breasts with Rib Meat,2.4 lb (avg.),$11.98 avg/ea,$4.99/lb,False,0.011000881834215168,wt,1814.4,wt
41,Nature's Basket Fresh Boneless Skinless Chicken Breast,28 oz (avg.),$10.48 avg/ea,$5.99/lb,False,0.013205467372134039,wt,793.8000000000001,wt
42,Nature's Basket Boneless Skinless Thin Sliced Chicken Breasts,16 oz (avg.),$6.29 avg/ea,$6.29/lb,False,0.013866843033509699,wt,453.6,wt
43,Nature's Basket Individually Fresh Frozen Boneless Chicken Breast,6 ct,$8.99,$1.50/each,False,1.5,whole,6.0,whole
44,Dietz & Watson Fresh Buffalo Style Chicken Breast,0.25 lb,$9.99/lb,$9.99/lb,False,0.022023809523809522,wt,11340.0,wt
45,Dietz & Watson Fresh Honey BBQ Chicken Breast,0.25 lb,$9.99/lb,$9.99/lb,False,0.022023809523809522,wt,11340.0,wt
46,Tyson Chicken Breast - Chunk In Water,0.31 lb,$1.99,$6.42/lb,False,0.014153439153439152,wt,14061.6,wt
47,Market District Bulk Boneless Chicken Breasts,1 ct,$4.99,$4.99/each,False,4.99,whole,1.0,whole
48,Barber Foods Broccoli & Cheese Raw Stuffed Chicken Breasts,2 each,$5.99,$3.00,False,3.0,whole,2.0,whole
49,Barber Foods Cordon Bleu Raw Stuffed Chicken Breasts,283 g,$5.99,$0.02/g,False,0.02,whole,283.0,whole
50,Giant Eagle Italian Style Chicken Breasts,1 ct,$5.99,$5.99/each,False,5.99,whole,1.0,whole
51,Bell & Evans Breaded Boneless Skinless Chicken Breasts,10.5 oz,$7.79,$0.74/oz,False,0.026102292768959433,wt,141.75,wt
52,Giant Eagle Sweet Bourbon Chicken Breasts,1 ct,$5.99,$5.99/each,False,5.99,whole,1.0,whole
53,Market District Chicken Split Breasts with Ribs,4 lb (avg.),$7.96 avg/ea,$1.99/lb,True,0.004387125220458554,wt,1814.4,wt
54,Dietz & Watson Gourmet Chicken Breast,0.25 lb,$9.99/lb,$9.99/lb,False,0.022023809523809522,wt,11340.0,wt
55,Giant Eagle Chicken Breast Tenders,1.4 lb (avg.),$7.41 avg/ea,$5.29/lb,False,0.011662257495590828,wt,1814.4,wt
56,Tyson Breaded Chicken Breast Fillets,1.56 lb,$7.99,$5.12/lb,False,0.01128747795414462,wt,25401.600000000002,wt
57,Giant Eagle Fried Chicken Breast,0.25 lb,$8.99/lb,$8.99/lb,False,0.01981922398589065,wt,11340.0,wt
58,Giant Eagle Thin Sliced Breasts Chicken,1.2 lb (avg.),$6.35 avg/ea,$5.29/lb,False,0.011662257495590828,wt,907.2,wt
59,Perdue Chicken Breast Nuggets,29 oz,$6.99,$0.24/oz,True,0.008465608465608464,wt,822.1500000000001,wt
60,KRAFT SINGLES Cheese - Pasteurized Prepared American Singles,340 g,$3.79,$0.01/g,False,0.01,whole,340.0,whole
61,KRAFT SINGLES Singles American Cheese Slices,16 oz,$4.99,$0.31/oz,False,0.010934744268077601,wt,453.6,wt
62,Giant Eagle Original Cream Cheese,8 oz,2 for $3.00,$0.19/oz,True,0.006701940035273368,wt,226.8,wt
63,Philadelphia Cream Cheese - Original,16 oz,$4.99,$0.31/oz,False,0.010934744268077601,wt,453.6,wt
64,KRAFT PHILADELPHIA Cream Cheese Spread - Original,8 oz,$2.99,$0.37/oz,False,0.013051146384479717,wt,226.8,wt
65,KRAFT Cheese - Deli Deluxe American,1 lb,$6.49,$6.49/lb,False,0.014307760141093475,wt,453.6,wt
66,Frigo String Cheese,24 oz,$7.49,$0.31/oz,False,0.010934744268077601,wt,680.4000000000001,wt
67,Giant Eagle Low-Moisture Part-Skim Mozzarella Cheese String,24 ct,$5.49,$0.23/each,False,0.23,whole,24.0,whole
68,Philadelphia Cream Cheese Spread - Regular,8 oz,$3.49,$0.44/oz,False,0.015520282186948852,wt,226.8,wt
69,Philadelphia Cream Cheese Spread - Regular,12 oz,$4.99,$0.42/oz,False,0.014814814814814814,wt,340.20000000000005,wt
70,Giant Eagle Colby Jack Cheese,8 oz,$1.99,$0.25/oz,False,0.008818342151675485,wt,226.8,wt
71,KRAFT Cheese - Singles American,1.5 lb,$5.99,$3.99/lb,False,0.008796296296296297,wt,2268.0,wt
72,"Philadelphia Cream Cheese - Neufchatel, 1/3 Less Fat",226 g,$3.19,$0.01/g,False,0.01,whole,226.0,whole
73,Sargento Snacks Mozzarella String Cheese Sticks,12 oz,$4.79,$0.40/oz,False,0.014109347442680775,wt,340.20000000000005,wt
74,Philadelphia Cream Cheese Spread- Original,16 oz,$5.99,$0.37/oz,False,0.013051146384479717,wt,453.6,wt
75,Sargento Natural Sharp Cheddar Cheese,8 oz,$3.29,$0.41/oz,False,0.014462081128747794,wt,226.8,wt
76,Mini Babybel Original Semisoft Cheese,7.5 oz,$5.99,$0.80/oz,False,0.02821869488536155,wt,141.75,wt
77,Giant Eagle Cracker Cut Colby Jack Cheese,30 ct,2 for $7.00,$0.12/each,True,0.12,whole,30.0,whole
78,Frigo String Cheese - 100% Natural,340 g,$3.99,$0.01/g,False,0.01,whole,340.0,whole
79,Giant Eagle Low-Moisture Part-Skim Mozzarella Cheese String,12 ct,$2.99,$0.25/each,False,0.25,whole,12.0,whole
0,Produce Plum/Roma Tomatoes,4 oz (avg.),$0.75 avg/ea,$2.99/lb,False,0.006591710758377425,wt,113.4,wt
1,Produce Hydroponic Tomatoes,2 lb (avg.),$5.98 avg/ea,$2.99/lb,False,0.006591710758377425,wt,907.2,wt
2,Produce Stem Tomato,4 oz (avg.),$0.62 avg/ea,$2.49/lb,True,0.005489417989417989,wt,113.4,wt
3,NatureSweet Cherubs Tomatoes,24 oz,$6.99,$0.29/oz,False,0.010229276895943561,wt,680.4000000000001,wt
4,Giant Eagle Life's Getting Fresher Grape Tomatoes,16 oz,$4.99,$0.31/oz,False,0.010934744268077601,wt,453.6,wt
5,Beefsteak Tomatoes,8 oz (avg.),$2.00 avg/ea,$3.99/lb,False,0.008796296296296297,wt,226.8,wt
6,Giant Eagle Crushed Tomatoes,28 oz,$1.00,$0.04/oz,False,0.0014109347442680775,wt,793.8000000000001,wt
7,Farmers Market Tomatoes,1 ct,$3.99,$3.99/each,False,3.99,whole,1.0,whole
8,Ro-Tel Tomatoes With Green Chilies,10 oz,$1.39,$0.14/oz,False,0.0049382716049382715,wt,283.5,wt
9,Dei Fratelli Tomatoes - Petite Diced,28 oz,$2.29,$0.08/oz,False,0.002821869488536155,wt,793.8000000000001,wt
10,Del Monte Tomatoes - Diced With Basil Garlic & Oregano,14.5 oz,$1.25,$0.09/oz,False,0.003174603174603174,wt,141.75,wt
11,Bella Sun Luci Tomatoes - Sun Dried - Julienne Cut,3.5 oz,$2.99,$0.85/oz,False,0.029982363315696647,wt,141.75,wt
12,Contadina Tomatoes - Roma Style Crushed with Roasted Garlic,28 oz,$1.99,$0.07/oz,False,0.0024691358024691358,wt,793.8000000000001,wt
13,Bella Sun Luci Tomatoes - Sun Dried,3.5 oz,$2.99,$0.85/oz,False,0.029982363315696647,wt,141.75,wt
14,Contadina Tomatoes - Roma Style Crushed in Tomato Puree,28 oz,$1.99,$0.07/oz,False,0.0024691358024691358,wt,793.8000000000001,wt
15,Dei Fratelli Tomatoes - Diced,14.5 oz,$0.79,$0.05/oz,True,0.001763668430335097,wt,141.75,wt
16,Dei Fratelli Tomatoes - Herbs & Olive Oil Chopped Italian,28 oz,$2.29,$0.08/oz,False,0.002821869488536155,wt,793.8000000000001,wt
17,Dei Fratelli Tomatoes- Basil & Herbs,28 oz,$2.29,$0.08/oz,False,0.002821869488536155,wt,793.8000000000001,wt
18,Dei Fratelli Tomatoes- Diced Petite,14.5 oz,$0.79,$0.05/oz,True,0.001763668430335097,wt,141.75,wt
19,Del Monte Tomatoes - Diced,14.5 oz,$1.25,$0.09/oz,False,0.003174603174603174,wt,141.75,wt
20,Giant Eagle Large Eggs,18 ct,$1.19,$0.07/each,False,0.07,whole,18.0,whole
21,Giant Eagle Large Eggs,12 ct,$0.79,$0.07/each,True,0.07,whole,12.0,whole
22,Eggland's Best Large White Eggs,18 ct,$4.49,$0.25/each,False,0.25,whole,18.0,whole
23,Eggland's Best Large White Eggs,12 ct,$3.29,$0.27/each,False,0.27,whole,12.0,whole
24,Giant Eagle Jumbo Eggs,12 ct,$1.09,$0.09/each,False,0.09,whole,12.0,whole
25,Eggland's Best Eggs - Grade A Large Brown,1 doz,$3.99,$3.99/doz,False,3.99,whole,0.0,wt
26,Nature's Basket Organic Large Cage Free Brown Eggs,1 ct,$4.29,$4.29/each,False,4.29,whole,1.0,whole
27,Giant Eagle Extra Large Eggs,12 ct,$0.99,$0.08/each,False,0.08,whole,12.0,whole
28,Eggland's Best Extra Large White Grade A Eggs,12 ct,$3.49,$0.29/each,False,0.29,whole,12.0,whole
29,Eggland's Best Brown Eggs - Organic Grade A Large,1 doz,$4.99,$4.99/doz,False,4.99,whole,0.0,wt
30,Eggland's Best Eggs - Hard Cooked,6 ct,$3.49,$0.58/each,False,0.58,whole,6.0,whole
31,Nature's Basket Large Cage Free Brown Eggs,1 ct,2 for $4.00,$2.00/each,True,2.0,whole,1.0,whole
32,Nellie's Free Range Large Brown Eggs,12 ct,$4.29,$0.36/each,False,0.36,whole,12.0,whole
33,Nature's Basket Large Brown Eggs,12 ct,$3.79,$0.32/each,False,0.32,whole,12.0,whole
34,Pete & Gerry's Organic Large Brown Eggs,1 doz,$5.99,$5.99/doz,False,5.99,whole,0.0,wt
35,Nature's Basket Large Brown Cage Free Eggs,18 ct,$5.99,$0.33/each,False,0.33,whole,18.0,whole
36,NestFresh Free Range Brown Large Eggs,12 ct,$4.49,$0.37/each,False,0.37,whole,12.0,whole
37,Nature's Basket Large White Eggs,12 ct,$2.49,$0.21/each,False,0.21,whole,12.0,whole
38,Ore-Ida All American Scramble Kit,85 g,2 for $4.00,$0.02/g,True,0.02,whole,85.0,whole
39,Davidson's Eggs - Pasteurized Shell Large Safest Choice,24 oz,$3.99,$0.17/oz,False,0.00599647266313933,wt,680.4000000000001,wt
40,Giant Eagle Low-Moisture Part-Skim Shredded Mozzarella Cheese,8 oz,$2.19,$0.27/oz,False,0.009523809523809525,wt,226.8,wt
41,Giant Eagle Shredded Whole Milk Low-Moisture Mozzarella Cheese,16 oz,$4.29,$0.27/oz,False,0.009523809523809525,wt,453.6,wt
42,Giant Eagle Whole Milk Low-Moisture Shredded Mozzarella Cheese,8 oz,$2.19,$0.27/oz,False,0.009523809523809525,wt,226.8,wt
43,BelGioioso Cheese - Fresh Mozzarella,8 oz,$4.49,$0.56/oz,True,0.019753086419753086,wt,226.8,wt
44,Giant Eagle Low-Moisture Part-Skim Shredded Mozzarella Cheese,16 oz,$4.29,$0.27/oz,False,0.009523809523809525,wt,453.6,wt
45,KRAFT Natural Cheese Shredded Mozzarella,8 oz,$3.49,$0.44/oz,False,0.015520282186948852,wt,226.8,wt
46,Giant Eagle Low-Moisture Part-Skim Mozzarella Cheese String,24 ct,$5.49,$0.23/each,False,0.23,whole,24.0,whole
47,Giant Eagle Low-Moisture Part-Skim Mozzarella Cheese String,12 ct,$2.99,$0.25/each,False,0.25,whole,12.0,whole
48,Giant Eagle Light Part-Skim Mozzarella String Cheese,12 ct,$2.99,$0.25/each,False,0.25,whole,12.0,whole
49,Sargento Light String Cheese Sticks,9 oz,$4.79,$0.53/oz,False,0.01869488536155203,wt,255.15,wt
50,Giant Eagle Mozzarella Cheese,0.25 lb,$7.99/lb,$7.99/lb,False,0.01761463844797178,wt,11340.0,wt
51,Giant Eagle Part-Skim Low-Moisture Mozzarella Cheese,8 oz,$1.99,$0.25/oz,False,0.008818342151675485,wt,226.8,wt
52,Cappiello Mozzarella Cheese,16 oz,$2.99,$0.19/oz,False,0.006701940035273368,wt,453.6,wt
53,Miceli's Mozzarella Cheese,18 oz,$6.99,$0.39/oz,False,0.013756613756613757,wt,510.3,wt
54,Giant Eagle Part-Skim Low-Moisture Sliced Mozzarella Cheese,10 ct,$1.99,$0.20/each,False,0.2,whole,10.0,whole
55,Giant Eagle Whole Milk Low-Moisture Shredded Mozzarella Cheese,32 oz,$5.99,$0.19/oz,False,0.006701940035273368,wt,907.2,wt
56,Giant Eagle Part-Skim Low-Moisture Shredded Mozzarella Cheese,8 oz,$2.19,$0.27/oz,False,0.009523809523809525,wt,226.8,wt
57,Giant Eagle Low-Moisture Part-Skim Shredded Mozzarella Cheese,32 oz,$5.99,$0.19/oz,False,0.006701940035273368,wt,907.2,wt
58,Kraft Natural Cheese Natural Finely Shredded Mozzarella Cheese,8 oz,$3.49,$0.44/oz,False,0.015520282186948852,wt,226.8,wt
59,KRAFT Shredded Fat Free Mozzarella Cheese,198 g,$3.49,$0.02/g,False,0.02,whole,198.0,whole
60,La Banderita Corn Tortillas,27.5 oz,$2.49,$0.09/oz,False,0.003174603174603174,wt,141.75,wt
61,Giant Eagle Soft Fajita Size White Corn Tortillas - Low Fat,18 ct,$1.29,$0.07/each,False,0.07,whole,18.0,whole
62,Mission White Corn Tortillas,30 each,$2.59,$0.09,False,0.09,whole,30.0,whole
63,La Tortilla Factory Hand Made Style White Corn Tortillas,11.57 oz,$2.99,$0.26/oz,False,0.009171075837742505,wt,1615.95,wt
64,Giant Eagle Rounds Yellow Tortilla Chips,13 oz,$1.79,$0.14/oz,False,0.0049382716049382715,wt,368.55,wt
65,Mission Yellow Corn Tortillas Extra Thin,453 g,$2.39,$0.01/g,False,0.01,whole,453.0,whole
66,TOSTITOS Tortilla Chips Resturant Style Party Size,18 oz,$5.29,$0.29/oz,False,0.010229276895943561,wt,510.3,wt
67,Garden of Eatin' Tortilla Chips - Blue Corn,9 oz,$2.79,$0.31/oz,True,0.010934744268077601,wt,255.15,wt
68,Garden of Eatin' Tortilla Chips - Blue,16 oz,$4.99,$0.31/oz,False,0.010934744268077601,wt,453.6,wt
69,TOSTITOS Baked! Scoops Tortilla Chips,6.25 oz,2 for $6.00,$0.48/oz,True,0.01693121693121693,wt,708.75,wt
70,TOSTITOS Tortilla Chips - Crispy Rounds,13 oz,$3.99,$0.31/oz,True,0.010934744268077601,wt,368.55,wt
71,Xochitl Mexican Style Tortilla Chips,16 oz,$5.99,$0.37/oz,False,0.013051146384479717,wt,453.6,wt
72,Late July Organic Sea Salt and Lime Tortilla Chips,11 oz,$4.49,$0.41/oz,False,0.014462081128747794,wt,311.85,wt
73,Giant Eagle Bite Size Tortilla Chips,13 oz,$1.79,$0.14/oz,False,0.0049382716049382715,wt,368.55,wt
74,Market District Mexican-Style Tortilla Chips with Sea Salt,16 oz,2 for $6.00,$0.19/oz,True,0.006701940035273368,wt,453.6,wt
75,Giant Eagle Restaurant Style Tortilla Chips,13 oz,$1.79,$0.14/oz,False,0.0049382716049382715,wt,368.55,wt
76,Doritos Nacho Cheese Flavored Tortilla Chips,9.75 oz,$4.29,$0.44/oz,False,0.015520282186948852,wt,2126.25,wt
77,Giant Eagle White Rounds Tortilla Chips,13 oz,$1.79,$0.14/oz,False,0.0049382716049382715,wt,368.55,wt
