,ing_name,name,size,price,on_sale,norm_unit_price,norm_unit_price_type
49,sauce,Scallops with Garlic Pesto Sauce,12 oz.,$10.00,False,0.02939447383891828,wt
50,sauce,Salmon with Pesto Sauce,6 oz.,$9.00,False,0.0529100529100529,wt
51,sauce,Cajun Salmon and Garlic Pepper Sauce,14 oz.,$12.00,False,0.03023431594860166,wt
52,tomato sauce,Tomato Sauce,29 oz.,$2.29,False,0.0027853797968740495,wt
53,tomato sauce,"Penne with Seasoned Tomato Sauce and Mozzarella, FAMILY PACK",32 oz.,$13.00,False,0.014329805996472662,wt
54,tomato sauce,Penne with Seasoned Tomato Sauce & Mozzarella Pasta Bowl,12 oz.,$6.00,False,0.01763668430335097,wt
55,tomato sauce,No Salt Added Tomato Sauce,8 oz.,$0.49,False,0.0021604938271604936,wt
56,red bell pepper,"6 Pack Red Peppers, FAMILY PACK",2 lb.,$5.99,False,0.0066027336860670196,wt
57,red bell pepper,Roasted Red Pepper Hummus,7 oz.,$2.49,False,0.01254724111866969,wt
58,red bell pepper,"Roasted Red Pepper Hummus, FAMILY PACK",32 oz.,$5.99,False,0.0066027336860670196,wt
59,red bell pepper,"Roasted Red Pepper Hummus Snack Packs, FAMILY PACK",24 oz.,$5.99,False,0.008803644914756025,wt
60,pasta,"Potato Gnocchi, FAMILY PACK",32 oz.,$7.49,False,0.008256172839506172,wt
61,pasta,Penne Rigate,16 oz.,$1.99,False,0.004387125220458554,wt
62,pasta,Italian Classics Whole Wheat Penne Rigate,16 oz.,$1.99,False,0.004387125220458554,wt
63,pasta,Italian Classics Whole Wheat Fusilli,16 oz.,$1.99,False,0.004387125220458554,wt
64,salsa,Pico de Gallo Salsa,1 Each Approx. 1 lb.,$7.49/lb,False,0.016512345679012344,wt
65,salsa,Salsa Verde,16 oz.,$5.50,False,0.012125220458553791,wt
66,salsa,Medium Salsa,15.5 oz.,$2.79,False,0.006349206349206349,wt
67,salsa,Mild Salsa,15.5 oz.,$2.79,False,0.006349206349206349,wt
68,red pepper,"6 Pack Red Peppers, FAMILY PACK",2 lb.,$5.99,False,0.0066027336860670196,wt
69,red pepper,Greenhouse Grown Red Sweet Peppers,1 Each Approx. 0.5 lb.,$2.99/lb,False,0.006591710758377425,wt
70,red pepper,Roasted Red Peppers,1 Each Approx. 0.5 lb.,$9.99/lb,False,0.022023809523809522,wt
71,red pepper,"Bell Pepper, Organic, Red",1 ea.,$2.49,False,2.49,whole
72,bay leaf,Bay Leaf,0.14 oz.,$5.99,False,1.5091962711010327,wt
73,bay leaf,Organic Turkish Bay Leaves,0.18 oz.,$8.99,False,1.761708798745836,wt
74,bay leaf,Bay Leaves,0.12 oz.,$4.99,False,1.4667842445620223,wt
75,bay leaf,Bay Leaves,0.5 oz.,$1.99,False,0.14038800705467372,wt
76,tomato paste,Tomato Paste,7 oz.,$1.99,False,0.01002771478961955,wt
77,tomato paste,Tomato Paste,6 oz.,$1.29,False,0.007583774250440916,wt
78,tomato paste,"Tomato Paste, Organic, Double Concentrated",4.56 oz.,$2.99,False,0.023128809678517284,wt
79,tomato paste,Tomato Paste,6 oz.,$0.99,False,0.005820105820105819,wt
80,shrimp,Coconut Shrimp with Sweet Chili Sauce,6.5 oz.,$6.50,False,0.03527336860670194,wt
81,shrimp,Shrimp and Grits,14 oz.,$11.00,False,0.02771478961955152,wt
82,shrimp,Low Country Shrimp Boil,30 oz.,$24.00,False,0.02821869488536155,wt
83,shrimp,Shrimp with Vodka Blush Sauce,13 oz.,$10.00,False,0.0271333604666938,wt
84,black beans,"Black Beans, FAMILY PACK",93 oz.,$2.99,False,0.0011340577648821376,wt
85,black beans,"Black Beans, FAMILY PACK",60 oz.,$3.69,False,0.0021693121693121694,wt
86,black beans,Black Beans,15.5 oz.,$0.49*,True,0.0011150935882118678,wt
87,black beans,Black Beans,16 oz.,$2.99,False,0.006591710758377425,wt
88,mushrooms,"Sliced Baby Bella Mushrooms, FAMILY PACK",20 oz.,$3.99,False,0.007037037037037038,wt
89,mushrooms,"Whole Baby Bella Mushrooms, FAMILY PACK",24 oz.,$3.99,False,0.005864197530864197,wt
90,mushrooms,"Sliced White Mushrooms, FAMILY PACK",20 oz.,$3.99,False,0.007037037037037038,wt
91,mushrooms,"Mushrooms, Whole White",24 oz.,$3.99,False,0.005864197530864197,wt
92,parsley,Organic Italian Parsley,1 ea.,$1.49,False,1.49,whole
93,parsley,Italian Parsley,1 ea.,$1.49,False,1.49,whole
94,parsley,Italian Parsley,0.25 oz.,$1.29,False,0.182010582010582,wt
95,parsley,Curly Parsley,0.25 oz.,$1.29,False,0.182010582010582,wt
96,ground beef,93/7 Grass Fed Ground Beef,16 oz.,$6.99,False,0.01541005291005291,wt
97,ground beef,"93% Lean Ground Beef, FAMILY PACK",48 oz.,$17.67,False,0.012985008818342152,wt
98,ground beef,80/20 Ground Beef Patties,16 oz.,$5.69,False,0.012544091710758378,wt
99,ground beef,"80/20 Ground Beef, FAMILY PACK",48 oz.,$14.97,False,0.011000881834215166,wt
100,milk,2% Reduced Fat Milk,1 gal.,$2.09,False,0.0005521796565389695,vol
101,milk,1% Low Fat Milk,1 gal.,$1.89,False,0.0004993394980184941,vol
102,milk,Fat Free Milk,1 gal.,$1.79,False,0.0004729194187582563,vol
103,milk,Vitamin D Whole Milk,1 gal.,$2.09,False,0.0005521796565389695,vol
104,large eggs,"Three Dozen Large Eggs, FAMILY PACK",72 oz.,$1.99,False,0.0009749167156574564,wt
105,large eggs,Large Brown Eggs,24 oz.,$3.99,False,0.005864197530864197,wt
106,large eggs,Extra Large Brown Eggs,27 oz.,$4.19,False,0.005473904239336338,wt
107,large eggs,Pasture Raised Large Brown Eggs,24 oz.,$5.99*,True,0.008803644914756025,wt
108,flour tortillas,"Tortillas, Flour, Ricas, Family Pack",22.5 oz.,$2.99,False,0.004687438761512836,wt
109,flour tortillas,"Tortillas, Flour, Fajita Size, Twin Pack",45 oz.,$5.79,False,0.004538506760728983,wt
110,flour tortillas,"Tortilla Chips, Coconut Flour, Organic, Himalayan Pink Salt",5.5 oz.,$3.99,False,0.02558922558922559,wt
111,flour tortillas,"Tortilla Chips, Coconut Flour, Organic, Sea Salt & Vinegar",5.5 oz.,$3.99,False,0.02558922558922559,wt
112,basil,Fresh Living Basil,1 ea.,$3.49,False,3.49,whole
113,basil,Basil,2 oz.,$2.99,False,0.0527336860670194,wt
114,basil,Basil,1 ea.,$1.99,False,1.99,whole
115,basil,Tomato Basil with Orzo Soup,16 oz.,$4.99,False,0.011000881834215168,wt
116,bacon,Uncured Turkey Bacon,10 oz.,$6.29,False,0.02218694885361552,wt
117,bacon,"Uncured Bacon, Apple Wood Smoked",12 oz.,$7.99*,True,0.023486184597295706,wt
118,bacon,"Center Cut Uncured Bacon Maple Smoked, Thick Sliced FAMILY PACK",48 oz.,$14.99,False,0.011015579071134625,wt
119,bacon,Cherrywood Smoked Uncured Bacon,12 oz.,$7.99*,True,0.023486184597295706,wt
120,green bell pepper,Extra Large Green Peppers,1 Each Approx. 0.55 lb.,$1.79/lb,False,0.0039462081128747795,wt
121,green bell pepper,Long Hot Green Pepper,1 Each Approx. 0.15 lb.,$4.49/lb,False,0.009898589065255732,wt
122,green bell pepper,Diced Green Peppers & Onions,7 oz.,2/$5.00,False,0.025195263290501382,wt
123,green bell pepper,Diced Green Peppers,7 oz.,2/$5.00,False,0.025195263290501382,wt
124,noodles,"Singapore Noodles with Chicken & Shrimp, FAMILY PACK",32 oz.,$16.00,False,0.01763668430335097,wt
125,noodles,Chicken Noodle Soup,16 oz.,$5.99,False,0.013205467372134039,wt
126,noodles,Organic Zucchini Noodles,1 Package Approx. 1 lb.,$8.49/lb,False,0.018716931216931215,wt
127,noodles,Chicken Noodle Soup,32 oz.,$10.49,False,0.011563051146384479,wt
128,beef,Cracked Pepper Beef Strip Steak,1 Package Approx. 0.75 lb.,$11.99/lb,False,0.026432980599647264,wt
129,beef,Beef Ribeye Steak with Cracked Pepper Seasoning,1 Package Approx. 1 lb.,$14.79/lb,False,0.0326058201058201,wt
130,beef,Beef Pizzaiola,12 oz.,$9.00,False,0.02645502645502645,wt
131,beef,"80% Lean Ground Beef, FAMILY PACK",1 Package Approx. 6.1 lb.,$2.19/lb,False,0.004828042328042328,wt
132,chiles,Red Fresno Pepper,1 Each Approx. 0.2 lb.,$4.49/lb,False,0.009898589065255732,wt
133,chiles,"Green Chiles, Diced, Mild",4 oz.,$1.99,False,0.017548500881834215,wt
134,chiles,"Green Chiles, Mild, Chopped",4.5 oz.,$1.49,False,0.011679404271996863,wt
135,chiles,"Green Chiles, Diced, Fire Roasted, Mild",4 oz.,$1.49,False,0.013139329805996473,wt
136,ginger,Fresh Ginger,1 Each Approx. 0.35 lb.,$2.99/lb,False,0.006591710758377425,wt
137,ginger,Three Grain Ginger Salad,11.2 oz.,$5.99,False,0.018864953388762914,wt
138,ginger,Lemon Ginger Cayenne Juice Blend,14.5 fl. oz.,$6.00,False,0.01399367952141616,vol
139,ginger,Raspberry Lemon Ginger Kombucha,12 fl. oz.,$2.49,False,0.0070172472100101455,vol
140,lime juice,Fresh Lime Juice,64 fl. oz.,$25.00,False,0.013210179235711871,vol
141,lime juice,"Lime Juice, Reconstituted",4.5 fl. oz.,2/$3.00,False,0.02254537256228159,vol
142,lime juice,"100% Juice, Pure Lime",16 fl. oz.,$4.49,False,0.009490192762935407,vol
143,lime juice,"Lime Juice, Sweetened",12 fl. oz.,$3.99,False,0.011244504565437944,vol
144,green onions,Green Onions,1 ea.,$1.29,False,1.29,whole
145,green onions,Green Onions (Scallions),1 ea.,$0.99,False,0.99,whole
146,green onions,Diced Green Peppers & Onions,7 oz.,2/$5.00,False,0.025195263290501382,wt
147,corn,Sweet Corn,1 ea.,5/$2.00,False,2.0,whole
148,corn,"Husked Bi-Color Corn, 5 ct",1 ea.,$5.00,False,5.0,whole
149,corn,Microwaveable Cleaned and Cut Baby Corn,8 oz.,2/$5.00,False,0.02204585537918871,wt
150,corn,Microwaveable Super Sweet Corn,12 oz.,$1.99,False,0.005849500293944738,wt
151,ricotta cheese,Fat Free Ricotta Cheese,15 oz.,$2.29,False,0.00538506760728983,wt
152,ricotta cheese,Part Skim Ricotta,15 oz.,$2.29,False,0.00538506760728983,wt
153,ricotta cheese,Whole Milk Ricotta,32 oz.,$3.99,False,0.004398148148148148,wt
154,ricotta cheese,Part Skim Ricotta,32 oz.,$3.99,False,0.004398148148148148,wt
155,avocado,"Avocados, FAMILY PACK",4 ea.,$5.00,False,1.25,whole
156,avocado,Bagged Avocados,3 ea.,$6.00,False,2.0,whole
157,avocado,Avocado,1 ea.,$1.49,False,1.49,whole
158,avocado,Florida Avocado,1 ea.,$2.99,False,2.99,whole
159,monterey jack cheese,Monterey Jack Cheese,32 oz.,$6.49,False,0.007153880070546737,wt
160,monterey jack cheese,Monterey Jack Cheese,8 oz.,$1.99,False,0.008774250440917107,wt
161,monterey jack cheese,Thin Sliced Monterey Jack Cheese with Jalapeno & Habanero Peppers,8 oz.,$1.99,False,0.008774250440917107,wt
162,monterey jack cheese,"Cheese, Monterey Jack Bar",8 oz.,$3.29,False,0.014506172839506172,wt
163,shallots,Shallots,3 oz.,$2.99,False,0.035155790711346266,wt
164,shallots,Shallots,3 oz.,$2.99,False,0.035155790711346266,wt
165,shallots,Shallots,1 Each Approx. 0.15 lb.,$2.99/lb,False,0.006591710758377425,wt
166,shallots,Cleaned and Cut Peeled Shallots,6 oz.,$3.99,False,0.023456790123456788,wt
167,turkey,Fresh Premium Turkey,1 Package Approx. 12 lb.,$5.99/lb,False,0.013205467372134039,wt
168,turkey,Turkey Breast,1 Each Approx. 4.6 lb.,$1.79/lb,False,0.0039462081128747795,wt
169,lean beef,"80% Lean Ground Beef, FAMILY PACK",1 Package Approx. 6.1 lb.,$2.19/lb,False,0.004828042328042328,wt
170,lean beef,"90% Lean Ground Beef, FAMILY PACK",1 Package Approx. 5.9 lb.,$2.99/lb,False,0.006591710758377425,wt
171,lean beef,"93% Lean Ground Beef, FAMILY PACK",48 oz.,$17.67,False,0.012985008818342152,wt
172,lean beef,"95% Lean Ground Beef, FAMILY PACK",1 Package Approx. 3.05 lb.,$5.49/lb,False,0.012103174603174604,wt
173,italian sausage,Italian Sausage with Peppers and Onions,13 oz.,$7.00,False,0.01899335232668566,wt
174,italian sausage,"Mild Italian Sausage, FAMILY PACK",1 Package Approx. 3 lb.,$3.19/lb,False,0.007032627865961199,wt
175,italian sausage,"All Pork Hot Italian Sausage Link, FAMILY PACK",1 Package Approx. 3.25 lb.,$3.19/lb,False,0.007032627865961199,wt
176,italian sausage,Mild Pork Italian Sausage,1 Package Approx. 1.3 lb.,$7.99/lb,False,0.01761463844797178,wt
177,basil leaves,Organic Basil Leaves,0.55 oz.,$5.99,False,0.38415905082571744,wt
178,basil leaves,Basil Leaves,0.62 oz.,$2.99,False,0.17010866473232064,wt
179,basil leaves,Basil Leaves,0.75 oz.,$1.00,False,0.04703115814226925,wt
180,chicken thighs,"Boneless & Skinless, Highly Trimmed Chicken Thigh Cutlets, FAMILY PACK",1 Package Approx. 4.7 lb.,$1.99/lb,False,0.004387125220458554,wt
181,chicken thighs,"Bone-In Chicken Thighs, FAMILY PACK",1 Package Approx. 4.7 lb.,$0.99/lb,False,0.0021825396825396826,wt
182,chicken thighs,Bone-In Chicken Thighs,1 Package Approx. 2.1 lb.,$3.99/lb,False,0.008796296296296297,wt
183,chicken thighs,Boneless Skinless Chicken Thighs,1 Package Approx. 2.14 lb.,$5.89/lb,False,0.01298500881834215,wt
184,spaghetti,Cod with Veggie Spaghetti,1 Package Approx. 1 lb.,$11.49/lb,False,0.02533068783068783,wt
185,spaghetti,Spaghetti & Meatballs Pasta Bowl,12 oz.,$8.00,False,0.023515579071134624,wt
186,spaghetti,Antibiotic Free Chicken Parmesan w/ Sauced Spaghetti & Green Beans,15 oz.,$11.00,False,0.02586713697824809,wt
187,spaghetti,Shrimp Scampi with Spaghetti Pasta Bowl,12 oz.,$9.00,False,0.02645502645502645,wt
188,large onion,"Packaged Fully Cooked Authentic Italian Large Pepperoni, Sausage, Onions & ...",39 oz.,$18.00,False,0.01628001628001628,wt
189,green chiles,"Green Chiles, Diced, Mild",4 oz.,$1.99,False,0.017548500881834215,wt
190,green chiles,"Refried Beans, with Green Chiles, Mild",15.4 oz.,$2.99,False,0.006848530658054468,wt
191,green chiles,"Green Chiles, Mild, Chopped",4.5 oz.,$1.49,False,0.011679404271996863,wt
192,green chiles,"Green Chiles, Diced, Fire Roasted, Mild",4 oz.,$1.49,False,0.013139329805996473,wt
193,lemon juice,Lemon Ginger Cayenne Juice Blend,14.5 fl. oz.,$6.00,False,0.01399367952141616,vol
194,lemon juice,Lemon Juice,64 fl. oz.,$25.99,False,0.01373330233344606,vol
195,lemon juice,"100% Juice, Lemon",32 fl. oz.,$2.49,False,0.0026314677037538045,vol
196,lemon juice,"Lemon Juice, Reconstituted",4.5 fl. oz.,2/$3.00,False,0.02254537256228159,vol
197,lemon,Lemons,32 oz.,$3.99,False,0.004398148148148148,wt
198,lemon,Lemons,2 lb.,$6.99,False,0.007705026455026455,wt
199,lemon,Lemons & Limes,32 oz.,$4.99,False,0.005500440917107584,wt
200,lemon,Salmon with Lemon Pepper Rub,5 oz.,$9.00,False,0.06349206349206349,wt
201,green pepper,Long Hot Green Pepper,1 Each Approx. 0.15 lb.,$4.49/lb,False,0.009898589065255732,wt
202,green pepper,Green Pepper Shooters,1 Each Approx. 0.5 lb.,$9.99/lb,False,0.022023809523809522,wt
203,green pepper,Extra Large Green Peppers,1 Each Approx. 0.55 lb.,$1.79/lb,False,0.0039462081128747795,wt
204,green pepper,Diced Green Peppers & Onions,7 oz.,2/$5.00,False,0.025195263290501382,wt
205,garam masala,Garam Masala,7 oz.,$3.49,False,0.017586293776769967,wt
206,garam masala,All Natural Garam Masala Blend,1.7 oz.,$5.99,False,0.12428675173773214,wt
207,plum tomatoes,Organic Plum Tomatoes (Roma),1 Each Approx. 0.25 lb.,$3.99/lb,False,0.008796296296296297,wt
208,plum tomatoes,Plum (Roma) Tomatoes,1 Each Approx. 0.22 lb.,$1.99/lb,False,0.004387125220458554,wt
209,plum tomatoes,"Pizza Sauce, Organic, Plum Tomato Marinara",12 oz.,$4.99,False,0.014667842445620222,wt
210,plum tomatoes,"Tomatoes, Plum, Whole Peeled",28 oz.,$2.29,False,0.0028848576467624086,wt
211,coconut milk,Unsweetened Coconut Milk,13.5 fl. oz.,$1.99,False,0.004985032377660041,vol
212,coconut milk,"Unsweetened Coconut Milk, Light",13.5 fl. oz.,$1.99,False,0.004985032377660041,vol
213,coconut milk,"Coconut Milk, Unsweetened",64 fl. oz.,$3.49,False,0.0018441410213053773,vol
214,coconut milk,"Coconut Milk Beverage, Organic, Unsweetened Vanilla",64 fl. oz.,$3.49,False,0.0018441410213053773,vol
215,coarse salt,Coarse Crystals Sea Salt,14.5 oz.,$1.99,False,0.00484096576050599,wt
216,coarse salt,"Kosher Salt, Coarse",3 lb.,$2.49,False,0.001829805996472663,wt
217,coarse salt,Coarse Ground With Parsley Garlic Salt,6 oz.,$2.99,False,0.017577895355673133,wt
218,heavy cream,Heavy Cream,8 fl. oz.,$1.99,False,0.008412242137301318,vol
219,heavy cream,Heavy Whipped Cream,14 oz.,$3.49,False,0.008793146888384984,wt
220,heavy cream,"Whipping Cream, Heavy",16 fl. oz.,$4.29,False,0.009067467027392627,vol
221,heavy cream,"Whipping Cream, Heavy",8 fl. oz.,$2.49*,True,0.010525870815015218,vol
222,zucchini,Organic Zucchini Noodles,1 Package Approx. 1 lb.,$8.49/lb,False,0.018716931216931215,wt
223,zucchini,Green Squash (Zucchini),1 Each Approx. 0.55 lb.,$1.99/lb,False,0.004387125220458554,wt
224,zucchini,Microwaveable Cleaned and Cut Triple Washed Baby Zucchini Squash,8 oz.,2/$5.00,False,0.02204585537918871,wt
225,zucchini,Zucchini Noodles,1 Each Approx. 1 lb.,$7.49/lb,False,0.016512345679012344,wt
226,ground pepper,Pure Ground Black Pepper,3 oz.,$2.99,False,0.035155790711346266,wt
227,ground pepper,"Black Pepper, Pure Ground",1.5 oz.,$1.69,False,0.03974132863021751,wt
228,ground pepper,Pure Ground Black Pepper,6 oz.,$6.99,False,0.041093474426807754,wt
229,ground pepper,"Red Pepper, Cayenne, Ground",6 oz.,$7.99,False,0.04697236919459141,wt
230,chicken fat,Oven Roasted Chicken Breast,7 oz.,$6.49,False,0.0327034517510708,wt
231,chicken fat,98% Fat Free Chicken Breast,1 lb.,$6.99,False,0.01541005291005291,wt
232,chicken fat,98% Fat Free Chicken Breast,1 lb.,$6.99,False,0.01541005291005291,wt
233,chicken fat,"Chicken Sausage, Sweet Apple",12 oz.,$6.59,False,0.019370958259847144,wt
234,whole milk,Vitamin D Whole Milk,1 gal.,$2.09,False,0.0005521796565389695,vol
235,whole milk,Vitamin D Whole Milk,1 gal.,$5.99,False,0.0015825627476882432,vol
236,whole milk,Vitamin D Whole Milk,0.5 gal.,$3.49,False,0.0018441215323645973,vol
237,whole milk,"Greek Yogurt, Whole Milk Plain",32 oz.,$3.99,False,0.004398148148148148,wt
238,pork,Seasoned Pork Chops (Boneless),1 Package Approx. 0.75 lb.,$5.99/lb,False,0.013205467372134039,wt
239,pork,"Center Cut Pork Spareribs, Spice-Rubbed Barbecue",1 Package Approx. 3.25 lb.,$5.29/lb,False,0.011662257495590828,wt
240,pork,Garlic Herb Seasoned Boneless Pork Loin Roast,1 Package Approx. 2.25 lb.,$4.99/lb,False,0.011000881834215168,wt
241,pork,"BBQ Pulled Pork, FAMILY PACK",32 oz.,$18.00,False,0.01984126984126984,wt
242,ketchup,Tomato Ketchup,20 oz.,$1.99,False,0.003509700176366843,wt
243,ketchup,Tomato Ketchup,32 oz.,$2.99,False,0.0032958553791887124,wt
244,ketchup,Tomato Ketchup,64 oz.,$5.79,False,0.003191137566137566,wt
245,ketchup,Tomato Ketchup,32 oz.,$1.29*,True,0.001421957671957672,wt
246,spinach,"Baby Spinach, FAMILY PACK",11 oz.,$3.99,False,0.012794612794612794,wt
247,spinach,Baby Spinach,5 oz.,$2.49,False,0.017566137566137566,wt
248,spinach,Bulk Baby Spinach,1 Bag Approx. 0.5 lb.,$5.99/lb,False,0.013205467372134039,wt
249,spinach,"Fresh Spinach, Cold Water Washed",9 oz.,$3.99,False,0.015637860082304528,wt
250,white onion,White Onions,1 Each Approx. 0.75 lb.,$1.99/lb,False,0.004387125220458554,wt
251,white onion,"Pearl Onions, White",14.4 oz.,$2.19,False,0.005364491475602587,wt
252,white onion,"Veggie Rings, with White Beans & Onions, Cauliflower",12 oz.,$3.99,False,0.011728395061728394,wt
253,salmon fillet,"Wild Caught Sockeye Salmon Fillets, FAMILY PACK",32 oz.,$24.98,False,0.0275352733686067,wt
254,salmon fillet,EU Organic Atlantic Salmon Fillet,1 Package Approx. 0.8 lb.,$18.99/lb,False,0.04186507936507936,wt
255,salmon fillet,Fresh Wild Alaska Sockeye Salmon Fillet,1 lb.,$19.99,False,0.04406966490299823,wt
256,salmon fillet,Fresh Farm-Raised Boneless Atlantic Salmon Fillets,1 Fillet Approx. 0.5 lb.,$9.99/lb,False,0.022023809523809522,wt
257,lime,Limes,1 lb.,$3.99,False,0.008796296296296297,wt
258,lime,Organic Limes,1 lb.,$3.99,False,0.008796296296296297,wt
259,lime,Large Fresh Limes,1 ea.,3/$1.00,False,1.0,whole
260,lime,Lime,16 fl. oz.,$1.49,False,0.00314930672979371,vol
261,yellow onion,Yellow Onions,48 oz.,$3.99,False,0.0029320987654320985,wt
262,yellow onion,Yellow Onions,2 lb.,$0.99,False,0.0010912698412698413,wt
263,capers,Salmon with Tomatoes & Capers,15 oz.,$12.00,False,0.02821869488536155,wt
264,capers,Nonpareil Capers,3 fl. oz.,$1.99,False,0.02243264569947018,vol
265,capers,Capote Capers,3 fl. oz.,$1.99,False,0.02243264569947018,vol
266,capers,Marinated Sun-Dried Tomatoes with Capers,10 oz.,$3.99,False,0.014074074074074076,wt
267,greens,"Super Greens (Kale, Spinach, & Chard)",5 oz.,$2.49,False,0.017566137566137566,wt
268,greens,"Super Greens (Kale, Spinach, & Chard), FAMILY PACK",11 oz.,$3.99,False,0.012794612794612794,wt
269,greens,Greens with Pear Juice,14.5 fl. oz.,$6.00,False,0.01399367952141616,vol
270,greens,"Carrots, Beets & Greens Juice",14.5 fl. oz.,$6.00,False,0.01399367952141616,vol
271,red onion,Red Onions,48 oz.,$4.99,False,0.0036669606114050554,wt
272,red onion,Red Onions,1 Each Approx. 0.45 lb.,$1.99/lb,False,0.004387125220458554,wt
